name,avatar,description,education,affiliation,specialty,locations,website
"Mahesh Jaya Shetty, MD, MPH, FCCP",https://www.bassmedicalgroup.com/wp-content/uploads/2017/09/Dr.-Mahesh-Shetty-Pulmonary-Medicine-Sunnyvale-CA-e1540486146395.png,"Dr. Shetty was born and raised in Mumbai, India, completing his Medical School from University of Mumbai. He subsequently moved to the United States to complete his Masters in Public health at the University of North Carolina at Chapel Hill. He then started an Internal Medicine Residency in St Louis, MO during which time he was particularly drawn towards the dynamics of the management of patients with lung and sleep problems including COPD (Chronic Obstructive Pulmonary Disease), Asthma, Sleep Disordered Breathing including Sleep apnea and Lung Cancer. He thus pursued a pulmonary fellowship at Yale University Program, Bridgeport Hospital and a critical care fellowship at Albert Einstein College of Medicine in New York. The exposure he got at Yale university influenced him to pursue a Sleep Medicine Fellowship at the University of Buffalo. He then moved to the bay area and started practicing pulmonary, critical care and sleep medicine for few years before joining the Bay Area Surgical Specialist (BASS) group.Dr Shetty has a special interest in didactics and always invites medical students and trainees to his clinic. In his free time, Dr Shetty likes to go biking along the river as well as hiking on various bay trails.Medical School:University of Mumbai in IndiaResidency:St. Marys Health Center in St. Louis, Missouri and Bhabha Hospital in Bombay, IndiaFellowship:Yale University Program  Bridgeport Hospital in Connecticut, Albert Einstein College of Medicine in New York andUniversity of Buffalo in New YorkEl Camino HospitalSutter Delta Medical Center","Medical School:University of Mumbai in India, Residency:St. Marys Health Center in St. Louis, Missouri and Bhabha Hospital in Bombay, India, Fellowship:Yale University Program  Bridgeport Hospital in Connecticut, Albert Einstein College of Medicine in New York andUniversity of Buffalo in New York","El Camino Hospital, Sutter Delta Medical Center","Pulmonary Disease, Sleep Medicine, Critical Care Medicine","Sunnyvale 500 East Remington Drive Suite 18 Sunnyvale, CA 94087 Ph: 650-962-8055 Fx: 650-969-0170",www.svchestsleep.com
"Rishi Sharma, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Rishi-Sharma-Gastroenterologist.jpg,"Dr. Rishi Sharma completed his general gastroenterology fellowship as well was the chief gastroenterology fellow in 2015 at Henry Ford Hospital, Wayne State University. Dr. Sharmas passion for gastroenterology, specifically advanced endoscopy, led him to pursue and complete another year of training at University of California  Davis, to become more skilled in:Dr. Rishi Sharma also sees and treats patients that suffer from general gastroenterology and hepatology conditions.For Dr. Sharma, medicine has never been a career, it has been a passion with a dedicated interest in working together with patients to create excellent health care outcomes. His interest in gastroenterologyspecifically advanced endoscopy, developed as he wanted to be at the cutting edge of medicine with treatments that previously required an open surgical procedure that now can be done endoscopically. His goal as a physician is to develop relationships with patients to find appropriate treatments which also coincide with the patients personal health goals. Dr. Sharma completed his internal medicine residency and also was the chief medical resident at Henry Ford Hospital, Wayne State University. During his training, he also worked as a medical intern at ABC News in New York writing articles online as well as assisted in projects related to ABC News Medical Unit.Dr. Sharma is currently accepting new patients.Medical School:Wayne State University School of Medicine in Detroit, MichiganResidency:Henry Ford Hospital  Wayne State University in Detroit, MichiganFellowship:Henry Ford Hospital  Wayne State University in Detroit, Michigan and University of California Davis in SacramentoJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterUC Davis Medical Center","Medical School:Wayne State University School of Medicine in Detroit, Michigan, Residency:Henry Ford Hospital  Wayne State University in Detroit, Michigan, Fellowship:Henry Ford Hospital  Wayne State University in Detroit, Michigan and University of California Davis in Sacramento","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, UC Davis Medical Center",Gastroenterology,"Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-329-3723 Fx: 925-329-3724 | Lafayette 911 Moraga Road Suite 101 Lafayette, CA 94549 Ph: 925-329-3723 Fx: 925-329-3724",
"Konark Sharma, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Konark-Sharma-Infectious-Disease-Specialist.jpg,"Dr. Konark Sharma speaks both Hindi and EnglishMedical School:Maulana Azad Medical Collegein New Delhi, IndiaInternship:St. Vincent Charity Hospital  St. Lukes Medical Centerin Cleveland, OhioResidency:St. Vincent Charity Hospital  St. Lukes Medical Center in Cleveland, OhioFellowship:University of Utah in Salt Lake CityJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterSutter Delta Medical Center","Medical School:Maulana Azad Medical Collegein New Delhi, India, Internship:St. Vincent Charity Hospital  St. Lukes Medical Centerin Cleveland, Ohio, Residency:St. Vincent Charity Hospital  St. Lukes Medical Center in Cleveland, Ohio, Fellowship:University of Utah in Salt Lake City","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, Sutter Delta Medical Center",Infectious Disease,"Walnut Creek 365 Lennon Lane Suite 200 Walnut Creek, CA 94598 Ph: 925-947-2334 Fx: 925-947-5889",www.iddoctors.com
"Mahsheed Shariati, DO",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,"Bio coming soonMedical School:Western University in Pomona, CaliforniaResidency:University of California Davis Medical Center","Medical School:Western University in Pomona, California, Residency:University of California Davis Medical Center",,Family Medicine,"Antioch 3903 Lone Tree Way Suite 104 Antioch, CA 94509 Ph: 925-755-1255 Fx: 925-755-1259",
"Sheetal Shah, DO",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Sheetal-Shah-Family-Medicine.jpg,"After attending the University of California  Irvine, I studied medicine at Midwestern University in Illinois. I trained in Family Medicine at Advocate Christ Hospital in Oaklawn, IL and subsequently practiced Family Medicine with a focus on womens health at Illinois largest health system, Advocate Health Care. I am very excited to be back in my beautiful home state!Family medicine is truly a unique branch of the medical field. As a family doctor, I have the privilege of being able to cheer patients on for victories both big and small in their health and personal well-being. I enjoy practicing the full scope of family medicine, treating patients from childhood into adulthood for their preventative and primary care needs. I value the importance of working closely with specialists in all fields to manage and coordinate care for patients with multiple medical conditions. I understand that some patients circumstances and medical cases require more care and attention, and I do my very best to ensure each individuals needs are met. My goal is to make sure that all patients I interact with feel respected and that their voices and concerns are heard with compassion. During my days off I love spending time with my husband, my three lovely children, and our large extended family. I also enjoy hobbies such as Indian dance, cooking, hiking and traveling.Medical School:Midwestern University in Downers Grove, IllinoisResidency:Advocate Christ Hospital  Family Residency Program in Hometown, Illinois","Medical School:Midwestern University in Downers Grove, Illinois, Residency:Advocate Christ Hospital  Family Residency Program in Hometown, Illinois",,Family Medicine,"Danville 4165 Blackhawk Plaza Circle Suite 100 Danville, CA 94506 Ph: 925-736-7070 Fx: 925-736-7075",www.blackhawkmedicalgroup.com
"Selina Shah, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Selina-Shah-Orthopedic-Surgeon.jpg,"Dr. Shah is board certified in sports medicine and internal medicine. She has an extensive background in sports medicine as both an athlete and a physician. Dr. Shah is a team physician for USA Synchronized Swimming, USA Weight Lifting, USA Figure Skating, Mills College, and is a member of the USA Gymnastics referral network. She has worked with USA Womens Soccer, USA Track and Field, Nashville Predators Ice Hockey Team, Ironman USA, the Senior Olympic Games, and several biking, triathlon and marathon events. Dr. Shah is the dance company physician for the San Francisco Ballet School and Diablo Ballet. She has been a physician for Cirque du Soleil, Berkeley Repertory Theater, Northgate High School, Liss Fain Dance, Company C, and St. Marys College. Dr. Shah has taken care of several Broadway performers including those from Mo Town, The King and I, South Pacific, Billy Elliot, American Idiot, The Book of Mormon, and Lion King.Dr. Shah has been athletically active all of her life. She has competed in gymnastics, rhythmic gymnastics, and swimming. Dr. Shah has over 20 years of experience as a dancer having studied modern, ballet, pointe, hip hop, jazz, and Bollywood. She is currently a professional dancer, active runner, scuba diver and yogi.Dr. Shah specializes in treating medical and musculoskeletal issues in people of all ages. She also specializes in musculoskeletal ultrasound for diagnosis and ultrasound guided injections into joints, tendons, ligaments and bursa. Additionally, Dr. Shah provides comprehensive concussion management. Dr. Shah stays up to date with the best treatment options for her patients by attending and lecturing at international conferences and reading medical journals. She performs Platelet-rich-plasma (PRP) injections as well as Tenex percutaneous tenotomy under ultrasound guidance.Medical School:Vanderbilt University School Of Medicinein Nashville, TennesseeResidency:Vanderbilt University Medical Center in Nashville, TennesseeFellowship:Kaiser Permanente Los Angeles in CaliforniaJohn Muir Health Walnut Creek Medical CenterSaint Francis Memorial Hospital","Medical School:Vanderbilt University School Of Medicinein Nashville, Tennessee, Residency:Vanderbilt University Medical Center in Nashville, Tennessee, Fellowship:Kaiser Permanente Los Angeles in California","John Muir Health Walnut Creek Medical Center, Saint Francis Memorial Hospital",Sports Medicine,"Walnut Creek 2255 Ygnacio Valley Road Suite V Walnut Creek, CA 94598 Ph: 925-979-5327 Fx: 925-357-3199",www.selinashah.com
"Saurin Shah, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Saurin-Shah-Thoracic-Surgeon.jpg,"Dr. Saurin Shah is a thoracic surgeon who specializes in diagnosing and treating patients with conditions of the wall surrounding the chest cavity, the lungs, the heart and the esophagus. He completed his general surgical training and cardiothoracic surgery fellowship at Albany Medical Center in Albany, New York. He also completed a second fellowship in advanced minimally invasive thoracic surgery at Cedars-Sinai Medical Center in Los Angeles, where he trained under Dr. Robert McKenna.In 2011, he joined the thoracic team at Bay Area Surgical Specialists (BASS). In addition to treating patients for BASS in Walnut Creek and Castro Valley, he has helped grow the thoracic wings at Eden Medical Center, John Muir Medical Center, and Sutter Delta Medical Center. In 2014, he was appointed the medical director of Thoracic Surgery at Sutter Delta Medical Center, where he is dedicated to helping diagnose and treat patients in the East Bay area.Medical School:Saint Georges University School of Medicine inGrenadaResidency:Albany Medical Center in New YorkFellowship:Albany Medical Center in New York andCedars-Sinai Medical Center in Los AngelesJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical CenterAlta Bates Summit Medical Center  Alta Bates CampusAlta Bates Summit Medical Center  Summit CampusSutter Delta Medical CenterEden Medical Center","Medical School:Saint Georges University School of Medicine inGrenada, Residency:Albany Medical Center in New York, Fellowship:Albany Medical Center in New York andCedars-Sinai Medical Center in Los Angeles","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center, Alta Bates Summit Medical Center  Alta Bates Campus, Alta Bates Summit Medical Center  Summit Campus, Sutter Delta Medical Center, Eden Medical Center",Thoracic Surgery,"Walnut Creek 2637 Shadelands Drive Walnut Creek, CA 94598 Ph: 925-932-6330 Fx: 925-932-0139 | Castro Valley 19845 Lake Chabot Road Suite 200 Castro Valley, CA 94546 Ph: 925-932-6330 Fx: 925-932-0139",
"Courtney F. Sepic, FNP",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Courtney-Sepic-FNP.jpg,"Family Medicine has been very fulfilling forCourtney Sepic, FNP,becauseshe enjoys taking care of people throughout their lifespantreating multiple generations, getting to know a whole family. It has groundedher and helpedher set down roots inthe East Bay community.Courtneyfinds it interesting and fulfilling to work on primary care medical cases of all kinds buther special interests are orthopedics and urgent care.Courtney holds a Bachelor of Science and a Master of Science from Georgetown University.She has over 15 years of experience.Whenshes not at work,she loves spending time withher family, hiking and traveling.Master of Science:Georgetown Universityin Washington DCBachelor of Science:Georgetown Universityin Washington DC","Master of Science:Georgetown Universityin Washington DC, Bachelor of Science:Georgetown Universityin Washington DC",,"Family Medicine, Obstetrics and Gynecology, Nurse Practitioner","Danville 3424 Camino Tassajara Road Danville, CA 94506 Ph: 925-309-2700 Fx: 925-309-2701 | Walnut Creek 110 Tampico Suite 220 Walnut Creek, CA 94598 Ph: 925-935-5356 Fx: 925-935-1070",www.blackhawkmedicalgroup.com
"Janine Senior, MD, FACOG",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Janine-Senior-OBGYN-Walnut-Creek-CA.jpg,"Dr. Janine Senior is a Board-Certified obstetrician and gynecologist practicing in Walnut Creek since 1992. She has two daughters and in her spare time likes to maintain her healthy lifestyle with running, diet, and good friends. Her professional interests are gynecological surgery, menopause, obstetrics, and womens preventive health.Board Certified/Fellow of the American College of Obstetrics and GynecologyMedical School:University of Cincinnati College of Medicine in OhioResidency:University of Florida inGainesville","Medical School:University of Cincinnati College of Medicine in Ohio, Residency:University of Florida inGainesville",,Obstetrics and Gynecology,"Walnut Creek 112 La Casa Via Suite 300 Walnut Creek, CA 94598 Ph: 925-239-0012 Fx: 925-239-0011",www.rsvpobgyn.com
"Marc A. Seftel, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/Dr.-Marc-A.-Seftel-ENT.jpg,"Dedicated to compassionate care from the beginning  Even as a child, I knew I wanted to be a doctor. In fact, my father was an ear, nose and throat physician right here in Santa Cruz, and Im proud to carry on this family tradition. Its a privilege to have a speciality practice where I grew up and give back to the people within the community. Thats why Ive stayed in the area.I believe in giving my patients the best care available, and this includes being there for them when they have questions or problems. A solid educational backgroundI am thankful to have had the opportunity to receive international training, both in Switzerland and at the University of Virginia. This has provided me with an exceptionally broad background in medicine and the field of otolaryngology-head and neck surgery. I strive to use these qualities daily to offer my patients the best and most advanced treatment possible.Board Certified: American Board of OtolaryngologyStaying At The Forefront Of The Latest TechnologyI enjoy sharing my expertise with other respected leaders in my field. Remaining active in professional organizations allows me to exchange ideas and learn about the newest ways to improve the care I offer my patients.Member: American Academy of Otolaryngology/Head and Neck Surgery, California Medical AssociationPersonal Interests: Mountain Bikers of Santa CruzIve made it my mission to give each patient the personal, one-on-one attention they deserve. I always take the time to listen to my patients concerns and offer them the best solutions for treatment. You can be assured that whenever you come to see me, I will be giving you the kind of dedication you can count on and effective treatment.Medical School:University of Lausanne in SwitzerlandInternship:University of Virginia Medical Center in CharlottesvilleResidency:University of Virginia Medical Center in CharlottesvilleFellowship:University of Virginia Medical Center in CharlottesvilleDominican HospitalWatsonville Community Hospital","Medical School:University of Lausanne in Switzerland, Internship:University of Virginia Medical Center in Charlottesville, Residency:University of Virginia Medical Center in Charlottesville, Fellowship:University of Virginia Medical Center in Charlottesville","Dominican Hospital, Watsonville Community Hospital",Otolaryngology (ENT),"Santa Cruz 550 Water Street  Suite A Santa Cruz, CA 95060 Ph: 831-476-4414 Fx: 831-476-0264 | Freedom 243 Green Valley Road, Suite B Freedom, CA 95019 Ph: 831-724-9449 Fx: 831-724-1971",www.scentmd.com
"Steven M. Schadendorf, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Steven-Schadendorf-Neurologist.jpg,"Dr. Steven Schadendorf was born and raised in Omaha, Nebraska and received a B.A. in Psychology from Creighton University. He received his medical degree from the University of Nebraska Medical Center. He then moved to Houston for his internship and neurology residency at Baylor College of Medicine, where he served as Chief Resident in Neurology from 2004 to 2005. In 2006, he completed a one year fellowship in Neurophysiology at Baylor. In 2006, he moved with a his wife, a pediatric neurologist from the Bay Area, in order to be close to family and begin his career with the Neurology Medical Group of Diablo Valley.The Medical Neurology Group of Diablo Valley joined BASS Medical Group in the summer of 2015.Medical School:University of Nebraska College of Medicine in OmahaInternship:Bay College of Medicine, Houston, TexasResidency:Bay College of Medicine, Houston, TexasFellowship:Bay College of Medicine, Houston, TexasJohn Muir Walnut Creek Health Medical CenterJohn Muir Concord Health Medical Center","Medical School:University of Nebraska College of Medicine in Omaha, Internship:Bay College of Medicine, Houston, Texas, Residency:Bay College of Medicine, Houston, Texas, Fellowship:Bay College of Medicine, Houston, Texas","John Muir Walnut Creek Health Medical Center, John Muir Concord Health Medical Center",Neurology,"Pleasant Hill 400 Taylor Blvd Suite 301 Pleasant Hill, CA 94523 Ph: 925-602-7060 Fx: 925-602-7070",
"Timothy Sayles, PA-C",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Timothy-Sayles-PA-C.jpg,"Tim considers it a true privilege to be a healthcare provider at Diablo Family Physicians now with the clinic for greater than three years. He finds the philosophy of compassion, respect and patient-centered partnership very much aligned with his approach to delivering high quality care. With confidence and collaboration, his goal will always be to listen first and to address the whole patient: physical, mental, and emotional.Tim is now in his ninth year of practice following graduation from Texas Tech University Physician Assistant Program in his home state. He has worked in various healthcare venues so far including Rural Family Medicine and Hospital Medicine. He is married, has one young son and lives in Pleasanton. He enjoys sports, travel and free time with friends and family.Medical Degree:Physician AssistantTexas Tech Universityin Lubbock",Medical Degree:Physician AssistantTexas Tech Universityin Lubbock,,"Physician Assistant, Family Medicine","San Ramon 2301 Camino Ramon Suite 180 San Ramon, CA 94583 Ph: 925-866-1005 Fx: 925-866-1006",www.diablodocs.com
"Hussein Samji, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Hussein-Samji-Otolaryngologist.jpg,"Dr. Samji, the head and neck cancer specialist at Camino ENT, treats patients of all ages. He focuses on minimally invasive therapy for cancers of the throat, thyroid, neck and salivary glands and participates in the multi-disciplinary cancer group at El Camino Hospital. He is also a fellowship-trained laryngologist, one of only a few in the Bay Area. As such, Dr. Samji specializes in voice restoration, vocal enhancement and swallowing therapy. He has a special interest in the treatment of Eagle Syndrome.Dr. Samji was born and raised in Toronto, Canada. His father (a doctor) and mother (a teacher) instilled in him an intense passion for medicine and culture. This fueled Dr. Samjis education choices and many years of intense medical training. He graduated top of his college class with a political philosophy and cultural anthropology double major at McMaster University. Dr. Samji earned his medical degree from the Geisel School of Medicine at Dartmouth College and a Master of Public Health with special interest in Human Rights and International development from Harvard University. He completed his surgical training at Stanford University.Throughout high school and college, Dr. Samji participated in numerous singing and acting groups, bringing him a great personal appreciation and knowledge for his current specialty in vocal restoration. He enjoys helping both amateur and professional singers recover from illness and perform at their very best.Outside the office, Dr. Samji remains a musician and active skier. He is a self-professed foodie, who loves to cook and experience the Bay Area, its people, culture and landscape. Dr. Samjis sidekick is a loveable Labrador Retriever who may make guest appearances at the office.Medical School:Geisel School of Medicine at Dartmouth Collegein Hanover, New HampshireInternship:Stanford University School of Medicine in CaliforniaResidency:Stanford University School of Medicine in CaliforniaUCSF Benioff Childrens Hospital OaklandStanford Health CareEl Camino HospitalGood Samaritan Hospital","Medical School:Geisel School of Medicine at Dartmouth Collegein Hanover, New Hampshire, Internship:Stanford University School of Medicine in California, Residency:Stanford University School of Medicine in California","UCSF Benioff Childrens Hospital Oakland, Stanford Health Care, El Camino Hospital, Good Samaritan Hospital",Otolaryngology (ENT),"San Jose 2505 Samaritan Drive Suite 510 San Jose, CA 95124 Ph: 408-358-6163 Fx: 408-358-0223 | San Jose 6060 Hellyer Avenue Suite 150 San Jose, CA 95138 Ph: 408-227-6300 Fx: 408-227-6314 | Morgan Hill 16130 Juan Hernandez Drive Suite 108 Morgan Hill, CA 95037 Ph: 408-358-6163 Fx: 408-465-2564",www.caminoent.com
"Maria Jumagdao Sakai, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Maria-Jumagdao-Sakai-Family-Medicine-Specialist.jpg,"Dr. Maria Delie Ty Jumagdao-Sakai is a gifted family physician who treats patients at Gilroy Family Medical Group, in Gilroy, California. Dr. Jumagdao-Sakai provides a wide range of care for conditions, including asthma, allergies, hypertension, high cholesterol, and arthritis, as well as preventive services through annual physicals for patients of all ages, pediatric care, senior care, well-woman exams, sports physicals, and more.Dr. Jumagdao-Sakai was born and raised in the Philippines and attended St. Lukes College of Medicine in Quezon City, Philippines, before serving her internship at St. Lukes Medical Center. When she moved to the United States, she completed her medical training with a family practice internship and residency at the Natividad Medical Center in Salinas, California. She completed further training with a geriatrics fellowship at Stanford Hospital and Clinics in Palo Alto, California.Dr. Jumagdao-Sakai enjoys developing relationships with patients of all ages and is inspired by each persons unique story and wealth of life experiences. She speaks several languages, including Tagalog, Bisaya, Waray, and Spanish. She became a physician so that she could truly help people to lead healthier happier lives and fulfills her dream daily. In her free time, Dr. Jumagdao-Sakai enjoys spending time with her family.Medical School:St. Lukes College of Medical inQuezon City,PhilippinesInternship:Natividad Medical Center in Salinas, CaliforniaResidency:Natividad Medical Center in Salinas, CaliforniaFellowship:Stanford University in CaliforniaSaint Louise Regional HospitalHazel Hawkins Memorial Hospital","Medical School:St. Lukes College of Medical inQuezon City,Philippines, Internship:Natividad Medical Center in Salinas, California, Residency:Natividad Medical Center in Salinas, California, Fellowship:Stanford University in California","Saint Louise Regional Hospital, Hazel Hawkins Memorial Hospital",Family Medicine,"Gilroy 9460 No Name Uno Suite 115 Gilroy, CA 95020 Ph: 408-684-8103 Fx: 408-842-2229",www.gfmgca.com
"Negar M. Salehomoum, MD, FACS",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Negar-Salehomoum-Colon-Rectal-Surgeon.jpg,"Dr. Negar M. Salehomoum is the newest member ofBay Area Colon & Rectal Surgeons a division of BASS Medical Group, having joined in March 2015. Her interests include minimally invasive laparoscopic surgery, colorectal cancer, inflammatory bowel disease, benign anorectal disease, fecal incontinence, and pelvic floor disorders. She is passionate about educating her patients about their disease process and providing the best possible care.She earned her medical degree from Albert Einstein College of Medicine of Yeshiva University in the Bronx, New York in 2007, after which she completed all of her general surgery training at the University of Medicine and Dentistry of New Jersey- Robert Wood Johnson Medical School in New Brunswick, New Jersey in 2013. She then moved down to Weston, Florida where she completed a Colon & Rectal Surgery fellowship at Cleveland Clinic Florida in 2014.She is board certified in both general surgery and colorectal surgery. She is a member of the American College of Surgeons (ACS), American Society of Colon and Rectal Surgeons (ASCRS), Northern California Chapter of the ACS, Northern California Society of Colon & Rectal Surgeons, Northwest Society of Colon & Rectal Surgeons, Society of American Gastrointestinal and Endoscopic Surgeons, and Alameda-Contra Costa Medical Association.Now that Dr. Salehomoum has returned to the Bay Area after over a decade of training on the East Coast, she enjoys spending time with her family. She loves to be in the sunny outdoors during the summertime and hopes to spend more time skiing in the winters.Medical School:Albert Einstein College of Medicine in Bronx, New YorkResidency:University of Medicine and Dentistry of New Jersey- Robert Wood Johnson Medical School in New BrunswickFellowship:Cleveland Clinic FloridaJohn Muir Health Walnut Creek Medical CenterJohn Muir Health Concord Medical Center","Medical School:Albert Einstein College of Medicine in Bronx, New York, Residency:University of Medicine and Dentistry of New Jersey- Robert Wood Johnson Medical School in New Brunswick, Fellowship:Cleveland Clinic Florida","John Muir Health Walnut Creek Medical Center, John Muir Health Concord Medical Center",Colon And Rectal Surgery,"Walnut Creek 365 Lennon Lane Suite 290 Walnut Creek, CA 94598 Ph: 925-274-9000 Fx: 925-274-9004",www.bacrs.com
"Marcie Ryan, PA-C",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,"Marcie Ryan was born in Bangor, Maine and raised in Ghana and South Africa. She has been interested in medicine since the age of 12 and remains in awe of the human body to this day. Marcie moved to the United States after high school to pursue an education in medicine and graduated from Northeastern University in Boston, Massachusetts, with a masters in physician assistant studies.She spent her first six years of practice in a community health center outside of Boston where she practiced adult medicine with a special interest in treating refugees and homeless patients. Marcie moved to the East Bay in 2010 and has been practicing in a private family medicine clinic in Oakland since then. She loves primary care because of the potential to develop lasting relationships with patients and because of the variety of medical problems she encounters.Marcie is happily married with four young, active children and when she has free time she enjoys music, photography, triathlons and traveling.Masters Degree: Physician AssistantNortheastern University in Boston, Massachusetts","Masters Degree: Physician AssistantNortheastern University in Boston, Massachusetts",,"Family Medicine, Physician Assistant","Danville 4165 Blackhawk Plaza Circle Suite 100 Danville, CA 94506 Ph: 925-736-7070 Fx: 925-736-7075 | Danville 3424 Camino Tassajara Road Danville, CA 94506 Ph: 925-309-2700 Fx: 925-309-2701",www.blackhawkmedicalgroup.com
"Hope Rubin, MPAS PA-C",https://www.bassmedicalgroup.com/wp-content/uploads/2018/11/Rubin_Hope_Smaller-e1544036672483.jpg,"Hope Rubin MPAS PA-C is a Nationally Board Certified Physician Assistant with over 30 years of experience working in different areas of Womens Health. Her PA studies began at Touro College in NYC where she grew up and earned her undergraduate and PA degree. Hope received a Masters degree from the University of Nebraska in 2000 and became an adjunct professor at Samuel Merritt University PA program in addition to her clinical duties. In this hurried age of computer technology Hope finds it most important to treat patients as individuals with compassion, kindness and respect. You can schedule an appointment with Hope for your routine annual care, prenatal care, evaluation and treatment of menopause and management of gynecologic problems.Her home has been in Walnut Creek since 1985 where she lives with her husband, and feathered and furry kids. She enjoys SCUBA diving in sometimes remote areas in the world, and documenting them through journaling with watercolor and pencil. Hope considers it a privilege to provide your care and be a part of the team of providers at BASS RSVP ObGyn.Masters Degree: Physician Assistant Studies/Obgyn SpecialtyUniversity of Nebraska in OmahaBachelors of Science: Physician Assistant ProgramTouro College in New York","Masters Degree: Physician Assistant Studies/Obgyn SpecialtyUniversity of Nebraska in Omaha, Bachelors of Science: Physician Assistant ProgramTouro College in New York",,"Physician Assistant, Obstetrics and Gynecology","Walnut Creek 112 La Casa Via Suite 300 Walnut Creek, CA 94598 Ph: 925-239-0012 Fx: 925-239-0011",www.rsvpobgyn.com
"F. Anderson Rowe, MD",https://www.bassmedicalgroup.com/wp-content/uploads/2018/10/HeadshotComingSoon1-1-e1544036775847.jpg,"Dr. Rowe has been practicing as a Board Certified Gastroenterologist in San Ramon since 1999. Dr. Rowe received his MD degree at Loyola University Stritch School of Medicine in 1992. He performed his Internal Medicine Residency at Mayo Clinic in Rochester, Minn. He received his Gastroenterology Fellowship training at UCLA. While at UCLA he completed subspecialty training in Inflammatory Bowel Disease and ERCP. He is board certified in internal medicine and gastroenterology by the American Board of Internal Medicine.Medical School:Loyola University Stritch School of Medicinein Maywood, IllinoisResidency:Mayo Clinic in Rochester, MinnFellowship:University of California Los Angeles","Medical School:Loyola University Stritch School of Medicinein Maywood, Illinois, Residency:Mayo Clinic in Rochester, Minn, Fellowship:University of California Los Angeles",,Gastroenterology,"San Ramon 5601 Norris Canyon Road Suite 240 San Ramon, CA 94589 Ph: 925-901-1303 Fx: 925-901-1302",rowegi.com
"Joseph Rose, MD, FACOG",https://www.bassmedicalgroup.com/wp-content/uploads/2018/09/Dr.-Joseph-Rose-OBGYN-Walnut-Creek-CA.jpg,"Dr. Rose is a native of the Bay area. After spending part of his childhood in the Carribean, England and New York City, he moved to Berkley. He is an avid outdoorsman and loves to spend his spare time hiking, biking and snow boarding in the Sierra Mountains. Dr. Rose is married with one daughter and a Staffordshire Bull Terrier named Bacon. He also loves to cook. Professionally, Dr. Rose is a strong proponent of minimal intervention in the birth process, and he is very interested in midwifery care. His medical interests include minimally invasive laparoscopy and hysteroscopy. He is also keenly interested in hereditary breast and ovarian cancers and is proud to offer genetic testing and counseling to all his at risk patients.Board CertifiedMedical School:University of Michigan in Ann ArborResidency:University of Florida in GainesvilleJohn Muir Health Walnut Creek Medical CenterJohn Muri Health Concord Medical Center","Medical School:University of Michigan in Ann Arbor, Residency:University of Florida in Gainesville","John Muir Health Walnut Creek Medical Center, John Muri Health Concord Medical Center",Obstetrics and Gynecology,"Walnut Creek 112 La Casa Via Suite 300 Walnut Creek, CA 94598 Ph: 925-239-0012 Fx: 925-239-0011",www.rsvpobgyn.com
